_id,ObjectId,ReportedYear,GeoDivision,Category,Subtype,Count_,CountCleared
1712,1712,2018,D54/D55,Crimes Against the Person,Robbery-Financial,10,9
1713,1713,2018,D54/D55,Crimes Against the Person,Robbery-Other,234,118
1714,1714,2018,D54/D55,Crimes Against the Person,Sexual Violation,212,99
1715,1715,2018,D54/D55,Criminal Code Traffic,Other,121,120
1716,1716,2018,D54/D55,Other Criminal Code Violations,Other,1006,881
1717,1717,2018,D54/D55,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,142,131
1718,1718,2018,D54/D55,Other Federal Statute Violations,Other,4,3
1719,1719,2018,NSA,Controlled Drugs and Substances Act,Other,133,114
1720,1720,2018,NSA,Crimes Against Property,Auto Theft,33,5
1721,1721,2018,NSA,Crimes Against Property,Break & Enter-Apartment,8,3
1722,1722,2018,NSA,Crimes Against Property,Break & Enter-Commercial,16,7
1723,1723,2018,NSA,Crimes Against Property,Break & Enter-House,9,1
1724,1724,2018,NSA,Crimes Against Property,Break & Enter-Other,2,1
1725,1725,2018,NSA,Crimes Against Property,Fraud,230,30
1726,1726,2018,NSA,Crimes Against Property,Other,190,51
1727,1727,2018,NSA,Crimes Against Property,Theft Over $5000,26,5
1728,1728,2018,NSA,Crimes Against Property,Theft Under $5000,353,71
1729,1729,2018,NSA,Crimes Against the Person,Assault,257,94
1730,1730,2018,NSA,Crimes Against the Person,Attempt Murder,1,0
1731,1731,2018,NSA,Crimes Against the Person,Other,87,36
1732,1732,2018,NSA,Crimes Against the Person,Robbery-Financial,5,5
1733,1733,2018,NSA,Crimes Against the Person,Robbery-Other,94,48
1734,1734,2018,NSA,Crimes Against the Person,Sexual Violation,159,26
1735,1735,2018,NSA,Criminal Code Traffic,Other,74,73
1736,1736,2018,NSA,Other Criminal Code Violations,Other,228,210
1737,1737,2018,NSA,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,39,35
1738,1738,2018,NSA,Other Federal Statute Violations,Other,15,13
1739,1739,2019,D11,Controlled Drugs and Substances Act,Other,89,86
1740,1740,2019,D11,Crimes Against Property,Auto Theft,166,32
1741,1741,2019,D11,Crimes Against Property,Break & Enter-Apartment,138,27
